Date,Open,High,Low,Close,Volume
05/29/2024,"483.19","484.68","482.96","483.69","5,604,961"
05/28/2024,"487.40","487.65","484.53","487.12","4,034,716"
05/24/2024,"485.18","487.40","484.33","486.73","2,555,241"
05/23/2024,"489.91","489.99","482.29","483.44","3,811,307"
05/22/2024,"487.79","488.43","484.94","487.06","3,250,581"
05/21/2024,"486.53","488.58","486.35","488.48","2,453,576"
05/20/2024,"486.78","488.61","486.45","487.17","2,599,585"
05/17/2024,"486.09","486.73","484.70","486.69","3,274,035"
05/16/2024,"487.05","488.57","485.83","485.97","3,347,381"
05/15/2024,"483.34","487.23","482.74","486.90","4,399,485"
05/14/2024,"478.98","481.47","478.48","481.04","3,257,724"
05/13/2024,"480.35","480.42","477.73","478.77","3,108,442"
05/10/2024,"479.69","480.39","477.59","478.74","3,347,159"
05/09/2024,"475.59","478.15","474.94","478.15","3,486,049"
05/08/2024,"473.59","475.86","473.50","475.42","3,214,878"
05/07/2024,"475.70","476.64","474.71","475.40","3,451,302"
05/06/2024,"472.22","474.81","471.82","474.72","4,782,542"
05/03/2024,"469.76","471.00","467.44","469.98","4,586,859"
05/02/2024,"463.36","464.95","459.16","464.22","3,972,424"
05/01/2024,"460.77","467.07","459.44","459.93","6,115,377"
04/30/2024,"467.42","468.34","461.36","461.43","4,364,836"
04/29/2024,"468.84","469.42","466.21","468.84","3,253,205"
04/26/2024,"465.33","468.63","464.81","467.21","4,907,113"
04/25/2024,"458.77","463.46","457.26","462.58","4,876,228"
04/24/2024,"465.57","466.31","462.44","464.50","7,687,837"
04/23/2024,"461.18","465.13","460.67","464.84","4,257,400"
04/22/2024,"457.55","461.73","455.35","459.05","5,818,088"
04/19/2024,"458.99","459.94","453.90","455.10","9,787,454"
04/18/2024,"461.36","463.30","458.21","458.94","5,637,286"
04/17/2024,"465.11","465.24","458.73","459.99","7,156,229"
04/16/2024,"464.05","465.51","461.59","462.78","6,761,419"
04/15/2024,"473.47","473.59","462.85","463.61","9,530,044"
04/12/2024,"472.77","474.05","467.91","469.57","6,959,723"
04/11/2024,"473.98","477.43","470.67","476.06","5,109,901"
04/10/2024,"471.91","474.39","470.67","472.65","6,933,388"
04/09/2024,"478.38","478.60","472.74","477.27","5,254,191"
04/08/2024,"477.15","478.07","475.97","476.68","4,736,778"
04/05/2024,"472.85","478.33","472.42","476.49","5,588,160"
04/04/2024,"481.20","481.48","471.27","471.48","6,871,190"
04/03/2024,"475.84","478.80","475.79","477.36","6,224,812"
04/02/2024,"476.33","476.99","474.71","476.93","4,817,822"
04/01/2024,"481.44","481.96","478.83","480.07","5,733,960"
03/28/2024,"480.87","482.16","480.50","480.70","4,065,018"
03/27/2024,"479.51","480.87","477.45","480.76","4,951,429"
03/26/2024,"479.06","479.37","476.43","476.60","8,073,502"
03/25/2024,"477.73","478.79","477.55","477.94","6,081,277"
03/22/2024,"479.87","480.32","478.82","479.18","5,881,503"
03/21/2024,"482.62","483.24","481.21","481.35","5,044,680"
03/20/2024,"475.54","480.02","474.93","479.75","6,179,356"
03/19/2024,"472.20","475.74","471.29","475.60","4,550,248"
03/18/2024,"473.95","475.28","472.50","472.95","3,939,105"
03/15/2024,"470.41","471.78","468.72","470.01","6,807,087"
03/14/2024,"475.16","475.33","470.45","473.27","5,152,980"
03/13/2024,"475.31","475.47","472.90","474.31","3,544,526"
03/12/2024,"471.92","475.55","469.57","475.03","4,811,036"
03/11/2024,"469.20","470.46","467.39","470.00","5,323,866"
03/08/2024,"473.77","476.30","469.82","470.39","6,285,625"
03/07/2024,"471.63","474.19","470.78","473.26","7,149,802"
03/06/2024,"469.25","470.66","467.32","468.62","5,325,050"
03/05/2024,"468.95","469.38","464.06","466.15","4,616,503"
03/04/2024,"470.61","472.60","470.60","470.87","3,970,242"
03/01/2024,"467.83","471.77","467.43","471.43","4,839,421"
02/29/2024,"466.97","468.49","464.47","466.93","7,332,921"
02/28/2024,"464.49","465.83","464.11","465.21","2,800,602"
02/27/2024,"465.71","466.12","463.91","465.93","3,586,943"
02/26/2024,"467.19","467.59","464.94","465.07","3,450,804"
02/23/2024,"468.09","468.87","466.09","466.78","4,050,621"
02/22/2024,"463.22","467.33","462.32","466.57","4,328,536"
02/21/2024,"455.32","457.12","453.60","456.97","4,223,078"
02/20/2024,"457.44","458.06","454.43","456.51","5,306,784"
02/16/2024,"461.08","462.15","458.40","459.03","5,527,893"
02/15/2024,"458.90","461.54","458.43","461.39","5,695,711"
02/14/2024,"456.58","458.67","454.40","458.29","5,624,009"
02/13/2024,"454.48","455.70","451.00","453.97","8,152,242"
02/12/2024,"460.61","462.74","459.75","460.46","4,564,233"
02/09/2024,"458.54","461.03","458.17","460.67","4,002,594"
02/08/2024,"457.81","458.33","457.03","458.07","4,184,592"
02/07/2024,"456.15","458.18","455.27","457.76","6,763,415"
02/06/2024,"453.58","454.29","452.21","454.03","4,383,601"
02/05/2024,"453.73","454.15","450.54","452.62","7,101,857"
02/02/2024,"450.01","455.88","449.69","454.28","6,253,482"
02/01/2024,"445.35","449.66","444.65","449.66","6,138,360"
01/31/2024,"449.04","449.47","443.75","443.82","7,108,043"
01/30/2024,"450.84","451.81","450.44","451.17","3,409,953"
01/29/2024,"448.23","451.61","447.71","451.49","4,543,252"
01/26/2024,"448.10","449.51","447.16","448.23","6,404,023"
01/25/2024,"448.14","448.76","446.11","448.50","4,167,055"
01/24/2024,"448.32","449.19","445.75","445.99","4,568,204"
01/23/2024,"444.83","445.82","443.78","445.62","3,251,586"
01/22/2024,"444.77","445.92","443.68","444.30","5,870,412"
01/19/2024,"439.00","443.61","438.31","443.29","4,836,802"
01/18/2024,"435.58","438.39","434.16","437.93","4,331,285"
01/17/2024,"433.60","434.48","431.81","434.07","6,044,611"
01/16/2024,"436.79","437.98","434.74","436.50","5,730,839"
01/12/2024,"439.11","439.80","436.73","437.99","5,182,669"
01/11/2024,"438.94","439.36","434.00","437.79","4,796,587"
01/10/2024,"435.77","438.74","435.48","437.94","4,278,841"
01/09/2024,"433.62","436.43","433.16","435.07","7,939,567"
01/08/2024,"430.45","436.27","430.37","436.13","7,222,362"
01/05/2024,"429.59","432.30","428.64","429.98","5,724,608"
